Movie Name,Year,Budget (Cr),Collection (Amount in Cr),Verdict,Genre,Director,Production Company,Rating
Enthiran,2010,132,291,All Time Blockbuster,Action | Sci-Fi ,S.Shankar,Sun Pictures,7.1
Kabali,2016,137,,Average,Action | Crime | Drama,Pa.Ranjith,Fox Star Studios,6.2
Mersal,2017,132,249,Blockbuster,Action | Thriller,Atlee Kumar,Thenandal Studio Limited,7.2
I,2015,174,231,Above Average,Action | Drama | Thriller,S.Shankar,Global United Media,7.4
Theri,2016,78,158,Blockbuster,Action | Drama | Thriller,Atlee Kumar,V Creations,7.1
Kaala,2018,139,154,Average,Action | Drama ,Pa.Ranjith,Wunderbar Films,6.7
Sivaji,2007,70,150,All Time Blockbuster,Action | Drama | Thriller,S.Shankar,AVM Productions,7.5
Lingaa,2014,117,,Disaster,Action | Comedy | Drama,K.S.Ravikumar,Rockline Productions,5.6
Kaththi,2014,87,131,Super Hit,Action | Drama,A.R.Murugadoss,Lyca Productions,7.9
Thuppakki,2012,70,127,Blockbuster,Action | Thriller,A.R.Murugadoss,V Creations,7.9
Vivegam,2017,112,126,Flop,Action | Thriller,Siva,Sathya Jyothi Films,5.6
Singam 2,2013,64,123,Blockbuster,Action | Thriller,Hari,Prince Pictures,6.3
Vedalam,2015,64,118,Blockbuster,Action | Drama,Siva,A.M.Rathnam,6.2
Bairavaa,2017,68,115,Above Average,Action | Thriller,Bharathan,Vijaya Productions,5.8
Kanchana 2,2015,16,115,Blockbuster,Comedy | Horror,Raghava Lawrence,Raghavendra Productions,5.5
7aum Arivu,2011,80,108,Above Average,Action | Sci-Fi | Thriller,A.R.Murugadoss,Red Giant Movies,6.3
Singam 3,2017,,107,Flop,Action | Thriller,Hari,Studio Green,6.2
24,2016,60,106,Above Average,Action | Sci-Fi | Thriller,Vikram Kumar,2D Entertainment,7.8
Dasavtharam,2008,59,,Blockbuster,Action | Adventure | Sci-Fi | Thriller,K.S.Ravikumar,Aascar Film Pvt. Ltd,7.2
Puli,2015,96,98,Flop,Action | Adventure | Fantasy,Chimbu Deven,Thameens Release,4.4
Arrambam,2013,69,95,Above Average,Action | Drama | Mystery | Thriller,Vishnuvardhan,Sri Sathya Sai Movies,7
Thaanaa Serndha Koottam,2018,72,94,Flop,Action | Comedy | Crime,Vignesh Shivan,Studio Green,6.8
Vishwaroopam,2013,85,92,Average,Action | Thriller,Kamal Haasan,Raaj Kamal Films International,8.2
Jilla,2014,52,92,Above Average,Action | Drama,R.T.Neason,Super Good Films,6
Nanban,2012,78,92,Above Average,Comedy | Drama,S.Shankar,Gemini Film Circuit,7.4
Chandramukhi,2005,28,90,All Time Blockbuster,Action | Comedy | Fantasy | Horror | Mystery,P.Vasu,Sivaji Productions,7.1
Anjaan,2014,83,86,Flop,Action | Crime | Thriller,N.Lingusamy,Thirrupathi Brothers,5
Velaikkaran,2017,45,86,Average,Action | Drama | Thriller,Mohan Raja,24AM Studios,7.3
Singam,2010,40,85,Blockbuster,Action | Thriller,Hari,Studio Green,6.8
